datetime,IF.CFFEX
2024-12-16,-89689.19399999914
2024-12-17,-92523.59399999936
2024-12-18,-92523.59399999936
2024-12-19,-92523.59399999936
2024-12-20,-92523.59399999936
2024-12-23,-92523.59399999936
2024-12-24,-92523.59399999936
2024-12-25,-92523.59399999936
2024-12-26,-92523.59399999936
2024-12-27,-92523.59399999936
2024-12-30,-92523.59399999936
2024-12-31,-92523.59399999936
2025-01-02,-92523.59399999936
2025-01-03,-92523.59399999936
2025-01-06,-92523.59399999936
2025-01-07,-92523.59399999936
2025-01-08,-92523.59399999936
2025-01-09,-92523.59399999936
2025-01-10,-92523.59399999936
2025-01-13,-92523.59399999936
2025-01-14,-92523.59399999936
2025-01-15,-92523.59399999936
2025-01-16,-92523.59399999936
2025-01-17,-92523.59399999936
2025-01-20,-92523.59399999936
2025-01-21,-92523.59399999936
2025-01-22,-92523.59399999936
2025-01-23,-92523.59399999936
2025-01-24,-92523.59399999936
2025-01-27,-92523.59399999936
2025-02-05,-92523.59399999936
2025-02-06,35207.28600000043
2025-02-07,170087.28600000107
2025-02-10,172967.28600000063
2025-02-11,179230.80600000062
2025-02-12,179230.80600000062
2025-02-13,179230.80600000062
2025-02-14,179230.80600000062
2025-02-17,179230.80600000062
2025-02-18,179230.80600000062
2025-02-19,179230.80600000062
2025-02-20,179230.80600000062
2025-02-21,179230.80600000062
2025-02-24,179230.80600000062
2025-02-25,179230.80600000062
2025-02-26,179230.80600000062
2025-02-27,179230.80600000062
2025-02-28,179230.80600000062
2025-03-03,179230.80600000062
2025-03-04,179230.80600000062
2025-03-05,179230.80600000062
2025-03-06,179230.80600000062
2025-03-07,179230.80600000062
2025-03-10,179230.80600000062
2025-03-11,179230.80600000062
2025-03-12,179230.80600000062
2025-03-13,179230.80600000062
2025-03-14,179230.80600000062
2025-03-17,115865.52600000062
2025-03-18,138905.52600000042
2025-03-19,122105.76600000064
2025-03-20,122105.76600000064
2025-03-21,122105.76600000064
2025-04-01,122105.76600000064
2025-04-21,122105.76600000064
2025-04-22,122105.76600000064
2025-04-23,122105.76600000064
2025-04-24,122105.76600000064
2025-04-25,122105.76600000064
2025-04-28,122105.76600000064
2025-04-29,122105.76600000064
2025-04-30,122105.76600000064
2025-05-06,122105.76600000064
2025-05-07,122105.76600000064
2025-05-08,122105.76600000064
2025-05-09,122105.76600000064
2025-05-12,122105.76600000064
2025-05-13,122105.76600000064
2025-05-14,122105.76600000064
2025-05-15,122105.76600000064
2025-05-16,122105.76600000064
2025-05-19,122105.76600000064
2025-05-20,122105.76600000064
2025-05-21,122105.76600000064
2025-05-22,122105.76600000064
2025-05-23,122105.76600000064
2025-05-26,122105.76600000064
2025-05-27,122105.76600000064
2025-05-28,122105.76600000064
2025-05-29,122105.76600000064
2025-05-30,122105.76600000064
2025-06-03,122105.76600000064
2025-06-04,122105.76600000064
2025-06-05,122105.76600000064
2025-06-06,122105.76600000064
2025-06-09,122105.76600000064
2025-06-10,122105.76600000064
2025-06-11,122105.76600000064
2025-06-12,122105.76600000064
2025-06-13,122105.76600000064
2025-06-16,122105.76600000064
2025-06-17,122105.76600000064
2025-06-18,122105.76600000064
2025-06-19,122105.76600000064
2025-06-20,122105.76600000064
2025-06-23,122105.76600000064
2025-06-24,122105.76600000064
2025-06-25,122105.76600000064
2025-06-26,122105.76600000064
2025-06-27,122105.76600000064
2025-06-30,122105.76600000064
2025-07-01,122105.76600000064
2025-07-02,122105.76600000064
2025-07-03,122105.76600000064
2025-07-04,122105.76600000064
2025-07-07,122105.76600000064
2025-07-08,122105.76600000064
2025-07-09,122105.76600000064
2025-07-10,122105.76600000064
2025-07-11,122105.76600000064
2025-07-14,122105.76600000064
2025-07-15,122105.76600000064
2025-07-16,122105.76600000064
2025-07-17,122105.76600000064
2025-07-18,122105.76600000064
2025-07-21,122105.76600000064
2025-07-22,122105.76600000064
2025-07-23,122105.76600000064
2025-07-24,122105.76600000064
2025-07-25,122105.76600000064
2025-07-28,122105.76600000064
2025-07-29,122105.76600000064
2025-07-30,122105.76600000064
2025-07-31,122105.76600000064
2025-08-01,122105.76600000064
2025-08-04,122105.76600000064
2025-08-05,122105.76600000064
2025-08-06,122105.76600000064
2025-08-07,122105.76600000064
2025-08-08,122105.76600000064
2025-08-11,122105.76600000064
2025-08-12,122105.76600000064
2025-08-13,122105.76600000064
2025-08-14,122105.76600000064
2025-08-15,122105.76600000064
2025-08-18,122105.76600000064
2025-08-19,122105.76600000064
2025-08-20,122105.76600000064
2025-08-21,122105.76600000064
2025-08-22,122105.76600000064
2025-08-25,122105.76600000064
2025-08-26,122105.76600000064
2025-08-27,122105.76600000064
2025-08-28,122105.76600000064
2025-08-29,122105.76600000064
2025-09-01,122105.76600000064
2025-09-02,122105.76600000064
2025-09-03,122105.76600000064
2025-09-04,122105.76600000064
2025-09-05,122105.76600000064
2025-09-08,122105.76600000064
2025-09-09,122105.76600000064
2025-09-10,122105.76600000064
2025-09-11,122105.76600000064
2025-09-12,122105.76600000064
2025-09-15,122105.76600000064
2025-09-16,122105.76600000064
2025-09-17,122105.76600000064
2025-09-18,122105.76600000064
2025-09-19,122105.76600000064
2025-09-22,122105.76600000064
2025-09-23,122105.76600000064
2025-09-24,122105.76600000064
2025-09-25,122105.76600000064
2025-09-26,122105.76600000064
2025-09-29,122105.76600000064
2025-09-30,122105.76600000064
2025-10-09,122105.76600000064
2025-10-10,122105.76600000064
2025-10-13,122105.76600000064
2025-10-14,122105.76600000064
2025-10-15,122105.76600000064
2025-10-16,122105.76600000064
2025-10-17,122105.76600000064
2025-10-20,122105.76600000064
