datetime,IC.CFFEX
2025-10-30,-120004.23199999749
2025-10-31,-120004.23199999749
2025-11-03,-120004.23199999749
2025-11-04,-124118.28799999642
2025-11-05,-119558.2879999973
2025-11-06,-119078.28799999773
2025-11-07,-118598.28799999708
2025-11-10,-116198.28799999708
2025-11-11,-118118.28799999751
2025-11-12,-113798.28799999708
2025-11-13,-103238.28799999684
2025-11-14,-108278.28799999772
2025-11-17,-101558.28799999728
2025-11-18,-101798.28799999706
2025-11-19,-105878.28799999662
2025-11-20,-106838.28799999684
2025-11-21,-123878.28799999772
2025-11-24,-128198.28799999706
2025-11-25,-124358.28799999728
2025-11-26,-124598.28799999815
2025-11-27,-120278.28799999772
2025-11-28,-113318.2879999975
2025-12-01,-112598.28799999706
2025-12-02,-114278.28799999772
2025-12-03,-118358.28799999728
2025-12-04,-115958.28799999728
2025-12-05,-111398.28799999706
2025-12-08,-115718.2879999975
2025-12-09,-109718.2879999975
2025-12-10,-107318.2879999975
2025-12-11,-104678.28799999772
2025-12-12,-110918.2879999975
2025-12-15,-111158.28799999728
2025-12-16,-136842.72799999727
2025-12-17,-136842.72799999727
2025-12-18,-136842.72799999727
2025-12-19,-136842.72799999727
2025-12-22,-136842.72799999727
2025-12-23,-136842.72799999727
2025-12-24,-136842.72799999727
2025-12-25,-136842.72799999727
2025-12-26,-136842.72799999727
2025-12-29,-136842.72799999727
2025-12-30,-136842.72799999727
2025-12-31,-136842.72799999727
2026-01-05,-136842.72799999727
2026-01-06,-136842.72799999727
2026-01-07,-136842.72799999727
2026-01-08,-136842.72799999727
2026-01-09,-136842.72799999727
2026-01-12,-136842.72799999727
2026-01-13,-136842.72799999727
2026-01-14,-136842.72799999727
2026-01-15,-136842.72799999727
2026-01-16,-136842.72799999727
2026-01-19,-136842.72799999727
2026-01-20,-136842.72799999727
2026-01-21,-136842.72799999727
2026-01-22,-136842.72799999727
2026-01-23,-136842.72799999727
2026-01-26,-136842.72799999727
2026-01-27,-136842.72799999727
2026-01-28,-136842.72799999727
2026-01-29,-136842.72799999727
2026-01-30,-136842.72799999727
2026-02-02,-136842.72799999727
2026-02-03,-147894.7279999977
2026-02-04,-141654.72799999683
2026-02-05,-129174.72799999724
2026-02-06,-136614.7279999981
2026-02-09,-143094.72799999767
2026-02-10,-136854.7279999979
2026-02-11,-137334.72799999855
2026-02-12,-140214.7279999981
2026-02-13,-127494.72799999767
2026-02-24,-139494.72799999767
2026-02-25,-148854.7279999968
