datetime,IM.CFFEX,IC.CFFEX,IF.CFFEX
2024-03-15,20339.95199999913,-106180.30400000053,-43906.302000000775
2024-03-18,3326.351999999024,-113948.2040000003,-47828.32200000077
2024-03-19,960.3999999993157,-113948.2040000003,-47828.32200000077
2024-03-20,-1722.8480000008294,-113948.2040000003,-47828.32200000077
2024-03-21,-1722.8480000008294,-113948.2040000003,-47828.32200000077
2024-03-22,-1722.8480000008294,-113948.2040000003,-47828.32200000077
2024-03-25,-1722.8480000008294,-113948.2040000003,-47828.32200000077
2024-03-26,-1722.8480000008294,-113948.2040000003,-47828.32200000077
2024-03-27,-1722.8480000008294,-113948.2040000003,-47828.32200000077
2024-03-28,-1722.8480000008294,-113948.2040000003,-47828.32200000077
2024-03-29,1240.671999999171,-113948.2040000003,-47828.32200000077
2024-04-01,-3919.3280000004943,-113948.2040000003,-47828.32200000077
2024-04-02,-14418.308000000821,-113948.2040000003,-47828.32200000077
2024-04-03,-14418.308000000821,-113948.2040000003,-47828.32200000077
2024-04-08,-14418.308000000821,-113948.2040000003,-47828.32200000077
2024-04-09,-14418.308000000821,-113948.2040000003,-47828.32200000077
2024-04-10,-14418.308000000821,-113948.2040000003,-47828.32200000077
2024-04-11,-14418.308000000821,-113948.2040000003,-47828.32200000077
2024-04-12,-14418.308000000821,-113948.2040000003,-47828.32200000077
2024-04-15,-14418.308000000821,-113948.2040000003,-47828.32200000077
2024-04-16,-14418.308000000821,-113948.2040000003,-47828.32200000077
